disco,coleccion,tipo,estado,titulo_archivo,anio_archivo,carpeta,nombre_archivo,extension,tamano_mb,ruta_completa,nombre_limpio
horror,Found Footage,Película,coleccion,The Gallows,2015,,2015 - The Gallows.mp4,mp4,1284.4,/Volumes/horror/found footage collection/2015 - The Gallows.mp4,2015 - The Gallows
horror,Found Footage,Película,coleccion,The Visit,2015,,2015 - The Visit.mp4,mp4,1499.9,/Volumes/horror/found footage collection/2015 - The Visit.mp4,2015 - The Visit
horror,Found Footage,Película,coleccion,Bad Ben,2016,,2016 - Bad Ben.mkv,mkv,5149.5,/Volumes/horror/found footage collection/2016 - Bad Ben.mkv,2016 - Bad Ben
horror,Found Footage,Película,coleccion,Be My Cat- A Film for Anne,2016,,2016 - Be My Cat- A Film for Anne.mp4,mp4,1234.3,/Volumes/horror/found footage collection/2016 - Be My Cat- A Film for Anne.mp4,2016 - Be My Cat- A Film for Anne
horror,Found Footage,Película,coleccion,Blair Witch,2016,,2016 - Blair Witch.mkv,mkv,2228.2,/Volumes/horror/found footage collection/2016 - Blair Witch.mkv,2016 - Blair Witch
horror,Found Footage,Película,coleccion,Operation Avalanche,2016,,2016 - Operation Avalanche.mp4,mp4,1837.3,/Volumes/horror/found footage collection/2016 - Operation Avalanche.mp4,2016 - Operation Avalanche
horror,Found Footage,Película,coleccion,Population Zero,2016,,2016 - Population Zero.mp4,mp4,1321.6,/Volumes/horror/found footage collection/2016 - Population Zero.mp4,2016 - Population Zero
horror,Found Footage,Película,coleccion,SiREN,2016,,2016 - SiREN.mp4,mp4,1308,/Volumes/horror/found footage collection/2016 - SiREN.mp4,2016 - SiREN
horror,Found Footage,Película,coleccion,The Dark Tapes,2016,,2016 - The Dark Tapes.mp4,mp4,1921.2,/Volumes/horror/found footage collection/2016 - The Dark Tapes.mp4,2016 - The Dark Tapes
horror,Found Footage,Película,coleccion,Creep,2017,,2017 - Creep 2.avi,avi,1348.3,/Volumes/horror/found footage collection/2017 - Creep 2.avi,2017 - Creep 2
horror,Found Footage,Película,coleccion,Phoenix Forgotten,2017,,2017 - Phoenix Forgotten.mp4,mp4,1382.6,/Volumes/horror/found footage collection/2017 - Phoenix Forgotten.mp4,2017 - Phoenix Forgotten
horror,Found Footage,Película,coleccion,The Houses October Built,2017,,2017 - The Houses October Built 2.mkv,mkv,4049.3,/Volumes/horror/found footage collection/2017 - The Houses October Built 2.mkv,2017 - The Houses October Built 2
horror,Found Footage,Película,coleccion,Butterfly Kisses,2018,,2018 - Butterfly Kisses.mkv,mkv,6126.4,/Volumes/horror/found footage collection/2018 - Butterfly Kisses.mkv,2018 - Butterfly Kisses
horror,Found Footage,Película,coleccion,Cam,2018,,2018 - Cam.avi,avi,1332.1,/Volumes/horror/found footage collection/2018 - Cam.avi,2018 - Cam
horror,Found Footage,Película,coleccion,Hell House LLC II The Abaddon Hotel,2018,,2018 - Hell House LLC II The Abaddon Hotel.mp4,mp4,1747.8,/Volumes/horror/found footage collection/2018 - Hell House LLC II The Abaddon Hotel.mp4,2018 - Hell House LLC II The Abaddon Hotel
horror,Found Footage,Película,coleccion,Searching,2018,,2018 - Searching.mp4,mp4,1999.1,/Volumes/horror/found footage collection/2018 - Searching.mp4,2018 - Searching
horror,Found Footage,Película,coleccion,The Devil's Doorway,2018,,2018 - The Devil's Doorway.avi,avi,1369.3,/Volumes/horror/found footage collection/2018 - The Devil's Doorway.avi,2018 - The Devil's Doorway
horror,Found Footage,Película,coleccion,The Devil's Doorway,2018,,2018 - The Devil's Doorway.mp4,mp4,1490,/Volumes/horror/found footage collection/2018 - The Devil's Doorway.mp4,2018 - The Devil's Doorway
horror,Found Footage,Película,coleccion,The Other Side of the Wind,2018,,2018 - The Other Side of the Wind.mp4,mp4,2388.3,/Volumes/horror/found footage collection/2018 - The Other Side of the Wind.mp4,2018 - The Other Side of the Wind
horror,Found Footage,Película,coleccion,Unfriended Dark Web,2018,,2018 - Unfriended Dark Web.mp4,mp4,1806.8,/Volumes/horror/found footage collection/2018 - Unfriended Dark Web.mp4,2018 - Unfriended Dark Web
horror,Found Footage,Película,coleccion,Hell House LLC III Lake of Fire,2019,,2019 - Hell House LLC III Lake of Fire.mp4,mp4,1365.1,/Volumes/horror/found footage collection/2019 - Hell House LLC III Lake of Fire.mp4,2019 - Hell House LLC III Lake of Fire
horror,Found Footage,Película,coleccion,Case 347 Alien Abduction,2020,,2020 - Case 347 Alien Abduction.mp4,mp4,1299.3,/Volumes/horror/found footage collection/2020 - Case 347 Alien Abduction.mp4,2020 - Case 347 Alien Abduction
horror,Found Footage,Película,coleccion,Host,2020,,2020 - Host.mp4,mp4,1095.1,/Volumes/horror/found footage collection/2020 - Host.mp4,2020 - Host
horror,Found Footage,Película,coleccion,The Widow,2020,,2020 - The Widow.mp4,mp4,699,/Volumes/horror/found footage collection/2020 - The Widow.mp4,2020 - The Widow
horror,Found Footage,Película,coleccion,Dwellers,2021,,2021 - Dwellers.mkv,mkv,795.3,/Volumes/horror/found footage collection/2021 - Dwellers.mkv,2021 - Dwellers
horror,Found Footage,Película,coleccion,Paranormal Activity Next of Kin,2021,,2021 - Paranormal Activity Next of Kin.mp4,mp4,1919.3,/Volumes/horror/found footage collection/2021 - Paranormal Activity Next of Kin.mp4,2021 - Paranormal Activity Next of Kin
horror,Found Footage,Película,coleccion,The Medium,2021,,2021 - The Medium.mp4,mp4,2551.1,/Volumes/horror/found footage collection/2021 - The Medium.mp4,2021 - The Medium
horror,Found Footage,Película,coleccion,VHS,2021,,2021 - VHS 94.mkv,mkv,7240.7,/Volumes/horror/found footage collection/2021 - VHS 94.mkv,2021 - VHS 94
horror,Found Footage,Película,coleccion,Skinamarink,2022,,2022 - Skinamarink.mp4,mp4,1707.4,/Volumes/horror/found footage collection/2022 - Skinamarink.mp4,2022 - Skinamarink
horror,Found Footage,Película,coleccion,Frogman,2023,,2023 - Frogman.mkv,mkv,2044.1,/Volumes/horror/found footage collection/2023 - Frogman.mkv,2023 - Frogman
horror,Found Footage,Película,coleccion,Hell House LLC Origins The Carmichael Manor,2023,,2023 - Hell House LLC Origins The Carmichael Manor.mkv,mkv,6079.3,/Volumes/horror/found footage collection/2023 - Hell House LLC Origins The Carmichael Manor.mkv,2023 - Hell House LLC Origins The Carmichael Manor
